category,nominee,points
BEST ACTRESS,Jessie Buckley,
BEST ACTRESS,Rose Byrne,
BEST ACTRESS,Kate Hudson,
BEST ACTRESS,Renate Reinsve,
BEST ACTRESS,Emma Stone,
BEST SUPPORTING ACTRESS,Elle Fanning,
BEST SUPPORTING ACTRESS,Inga Ibsdotter Lilleaas,
BEST SUPPORTING ACTRESS,Amy Madigan,
BEST SUPPORTING ACTRESS,Wunmi Mosaku,
BEST SUPPORTING ACTRESS,Teyana Taylor,
BEST ACTOR,Timothee Chalamet,
BEST ACTOR,Leonardo DiCaprio,
BEST ACTOR,Ethan Hawke,
BEST ACTOR,Michael B. Jordan,
BEST ACTOR,Wagner Moura,
BEST SUPPORTING ACTOR,Benicio Del Toro,
BEST SUPPORTING ACTOR,Jacob Elordi,
BEST SUPPORTING ACTOR,Delroy Lindo,
BEST SUPPORTING ACTOR,Sean Penn,
BEST SUPPORTING ACTOR,Stellan Skarsgard,
BEST ADAPTED SCREENPLAY,Bugonia,
BEST ADAPTED SCREENPLAY,Frankenstein,
BEST ADAPTED SCREENPLAY,Hamnet,
BEST ADAPTED SCREENPLAY,One Battle After Another,
BEST ADAPTED SCREENPLAY,Train Dreams,
BEST ORIGINAL SCREENPLAY,Blue Moon,
BEST ORIGINAL SCREENPLAY,It Was Just An Accident,
BEST ORIGINAL SCREENPLAY,Marty Supreme,
BEST ORIGINAL SCREENPLAY,Sentimental Value,
BEST ORIGINAL SCREENPLAY,Sinners,
BEST ANIMATED FEATURE,Arco,
BEST ANIMATED FEATURE,Elio,
BEST ANIMATED FEATURE,KPop Demon Hunters,
BEST ANIMATED FEATURE,Little Amelie Or The Character of Rain,
BEST ANIMATED FEATURE,Zootopia 2,
BEST DOCUMENTARY FEATURE,The Alabama Solution,
BEST DOCUMENTARY FEATURE,Come See Me in the Good Light,
BEST DOCUMENTARY FEATURE,Cutting Through the Rocks,
BEST DOCUMENTARY FEATURE,Mr. Nobody Against Putin,
BEST DOCUMENTARY FEATURE,The Perfect Neighbor,
BEST INTERNATIONAL FEATURE,The Secret Agent,
BEST INTERNATIONAL FEATURE,It Was Just An Accident,
BEST INTERNATIONAL FEATURE,Sentimental Value,
BEST INTERNATIONAL FEATURE,Sirat,
BEST INTERNATIONAL FEATURE,The Voice of Hind Rajab,
BEST SHORT - ANIMATED,Butterfly,
BEST SHORT - ANIMATED,Forevergreen,
BEST SHORT - ANIMATED,The Girl Who Cried Pearls,
BEST SHORT - ANIMATED,Retirement Plan,
BEST SHORT - ANIMATED,The Three Sisters,
BEST SHORT - LIVE ACTION,Butcher's Stain,
BEST SHORT - LIVE ACTION,A Friend of Dorothy,
BEST SHORT - LIVE ACTION,Jane Austen's Period Drama,
BEST SHORT - LIVE ACTION,The Singers,
BEST SHORT - LIVE ACTION,Two People Exchanging Saliva,
BEST SHORT - DOCUMENTARY,All the Empty Rooms,
BEST SHORT - DOCUMENTARY,Armed Only With a Camera,
BEST SHORT - DOCUMENTARY,Children No More,
BEST SHORT - DOCUMENTARY,The Devil is Busy,
BEST SHORT - DOCUMENTARY,Perfectly a Strangeness,
BEST CINEMATOGRAPHY,Frankenstein,
BEST CINEMATOGRAPHY,Marty Supreme,
BEST CINEMATOGRAPHY,One Battle After Another,
BEST CINEMATOGRAPHY,Sinners,
BEST CINEMATOGRAPHY,Train Dreams,
BEST FILM EDITING,F1,
BEST FILM EDITING,Marty Supreme,
BEST FILM EDITING,One Battle After Another,
BEST FILM EDITING,Sentimental Value,
BEST FILM EDITING,Sinners,
BEST SOUND,F1,
BEST SOUND,Frankenstein,
BEST SOUND,One Battle After Another,
BEST SOUND,Sinners,
BEST SOUND,Sirat,
BEST VFX,Avatar,
BEST VFX,F1,
BEST VFX,Jurassic World,
BEST VFX,The Lost Bus,
BEST VFX,Sinners,
BEST PRODUCTION DESIGN,Frankenstein,
BEST PRODUCTION DESIGN,Hamnet,
BEST PRODUCTION DESIGN,Marty Supreme,
BEST PRODUCTION DESIGN,One Battle After Another,
BEST PRODUCTION DESIGN,Sinners,
BEST COSTUME DESIGN,Avatar,
BEST COSTUME DESIGN,Frankenstein,
BEST COSTUME DESIGN,Hamnet,
BEST COSTUME DESIGN,Marty Supreme,
BEST COSTUME DESIGN,Sinners,
BEST MAKEUP & HAIRSTYLING,Frankenstein,
BEST MAKEUP & HAIRSTYLING,Kokuho,
BEST MAKEUP & HAIRSTYLING,Sinners,
BEST MAKEUP & HAIRSTYLING,The Smashing Machine,
BEST MAKEUP & HAIRSTYLING,The Ugly Stepsister,
BEST ORIGINAL SCORE,Bugonia,
BEST ORIGINAL SCORE,Frankenstein,
BEST ORIGINAL SCORE,Hamnet,
BEST ORIGINAL SCORE,One Battle After Another,
BEST ORIGINAL SCORE,Sinners,
BEST ORIGINAL SONG,Dear Me (Diane Warren),
BEST ORIGINAL SONG,Golden (KPop Demon Hunters),
BEST ORIGINAL SONG,I Lied to You (Sinners),
BEST ORIGINAL SONG,Sweet Dreams of Joy (Viva Verdi!),
BEST ORIGINAL SONG,Train Dreams (Train Dreams),
BEST CASTING,Hamnet,
BEST CASTING,Marty Supreme,
BEST CASTING,One Battle After Another,
BEST CASTING,The Secret Agent,
BEST CASTING,Sinners,
BEST DIRECTOR,Hamnet,
BEST DIRECTOR,Marty Supreme,
BEST DIRECTOR,One Battle After Another,
BEST DIRECTOR,Sentimental Value,
BEST DIRECTOR,Sinners,
BEST PICTURE,Bugonia,
BEST PICTURE,F1,
BEST PICTURE,Frankenstein,
BEST PICTURE,Hamnet,
BEST PICTURE,Marty Supreme,
BEST PICTURE,One Battle After Another,
BEST PICTURE,The Secret Agent,
BEST PICTURE,Sentimental Value,
BEST PICTURE,Sinners,
BEST PICTURE,Train Dreams,
